"CWNS_ID","FACILITY_ID","STATE_CODE","CONGRESSIONAL_DISTRICT_ID","CD_PRIMARY_FLAG"
"48002062001",1183143,TX,"4819",Y
"34007028021",466977,NJ,"3403",Y
"42004081002",1196300,PA,"4213",Y
"55002440001",1206321,WI,"5508",Y
"55005160001",1206718,WI,"5504",Y
"34004001003",1073693,NJ,"3402",Y
"34006094001",1073802,NJ,"3401",Y
"39000279001",1080694,OH,"3905",Y
"39000350001",1080760,OH,"3909",Y
"39004200001",1081154,OH,"3905",Y
"39006776001",1081488,OH,"3909",Y
"54002906001",1095045,WV,"5401",Y
"54005405001",1095317,WV,"5402",Y
"54005507001",1095341,WV,"5401",Y
"33000098001",1100986,NH,"3302",Y
"24000005007",1214164,MD,"2402",Y
"24000300221",1214494,MD,"2406",Y
"36003095001",1220523,NY,"3617",Y
"36008064001",1221262,NY,"3625",Y
"36008074001",1221269,NY,"3624",Y
"42004277001",1227219,PA,"4209",Y
"31002355001",1230263,NE,"3103",Y
"19000560001",1234665,IA,"1901",Y
"26000411001",1088499,MI,"2608",Y
"26000575001",1088604,MI,"2611",Y
"26003137001",1088924,MI,"2601",Y
"25000179002",1092462,MA,"2502",Y
"54002715001",1095016,WV,"5401",Y
"54005001001",1095277,WV,"5401",Y
"01000305001",1102129,AL,"0104",Y
"05000585001",1105385,AR,"0504",Y
"17000074001",1113363,IL,"1702",Y
"24070075001",3093738,MD,"2406",Y
"34050909102",3383971,NJ,"3409",Y
"34091200101",3390850,NJ,"3406",Y
"34092001101",3392513,NJ,"3407",Y
"54003904001",3395578,WV,"5402",Y
"12000700030",3500400,FL,"1208",Y
"12000701010",3501022,FL,"1204",Y
"29003781002",1134017,MO,"2906",Y
"21000225002",1139656,KY,"2104",Y
"21000257001",1139682,KY,"2105",Y
"31001541001",1145966,NE,"3102",Y
"31001703001",1145983,NE,"3101",Y
"31002605001",1146080,NE,"3103",Y
"27000076001",1147959,MN,"2704",Y
"27000250001",1148104,MN,"2707",Y
"27000333001",1148155,MN,"2706",Y
"38000137001",1151384,ND,"3800",Y
"66000001002",1143950,GU,"6698",Y
"38000276001",1151516,ND,"3800",Y
"29002057001",1133664,MO,"2904",Y
"29002191001",1133722,MO,"2904",Y
"29002418001",1133838,MO,"2903",Y
"29003160001",1133926,MO,"2906",Y
"29004059001",1134076,MO,"2906",Y
"29004149001",1134161,MO,"2907",Y
"21000290001",1139708,KY,"2106",Y
"21000376003",1139766,KY,"2101",Y
"23000105001",1142544,ME,"2302",Y
"27000295001",1148127,MN,"2707",Y
"27003314001",1148285,MN,"2701",Y
"27044000207",425401,MN,"2708",Y
"34001680011",442379,NJ,"3405",Y
"34002514011",442561,NJ,"3407",Y
"34002506011",442598,NJ,"3407",Y
"16000071201",452839,ID,"1601",Y
"08000050001",1066854,CO,"0802",Y
"08000406001",1067151,CO,"0803",Y
"55004140001",1206592,WI,"5503",Y
"55004500001",1206636,WI,"5502",Y
"55004924002",1206679,WI,"5505",Y
"04001342001",1069471,AZ,"0401",Y
"09000700001",1071855,CT,"0902",Y
"09000800001",1071870,CT,"0905",Y
"34001457001",1073491,NJ,"3405",Y
"34002409001",1073572,NJ,"3406",Y
"34003250001",1073648,NJ,"3404",Y
"39005138001",1081262,OH,"3910",Y
"39005419006",1081286,OH,"3910",Y
"55009531001",1206872,WI,"5502",Y
"55009620001",1206897,WI,"5503",Y
"36006007001",1220937,NY,"3621",Y
"36008201002",1221316,NY,"3624",Y
"31000045001",1230166,NE,"3103",Y
"27000301001",1231506,MN,"2707",Y
"41000085001",1238051,OR,"4106",Y
"34001223021",2839520,NJ,"3410",Y
