"CWNS_ID","FACILITY_ID","STATE_CODE","IMPLEMENTATION_STATUS","REMAINING_COST","ANNUAL_COST"
"54002403001",1094967,WV,Considering Implementation,30000,0
"54002620001",1095003,WV,Fully Implemented,0,25000
"54002906001",1095045,WV,Considering Implementation,30000,0
"54005405001",1095317,WV,Fully Implemented,0,0
"54005507001",1095341,WV,Considering Implementation,30000,0
"54005001001",1095277,WV,Fully Implemented,0,18952
"54003904001",3395578,WV,Fully Implemented,0,50000
"23000105001",1142544,ME,Fully Implemented,0,0
"04001342001",1069471,AZ,Fully Implemented,0,0
"12000101009",409166,FL,Not Considering Implementation,0,0
"04002801005",3121869,AZ,Fully Implemented,0,0
"54000202001",1094700,WV,Not Considering Implementation,0,0
"54000301001",1094709,WV,Considering Implementation,30000,0
"54000701001",1094751,WV,Considering Implementation,30000,0
"54001017001",1094775,WV,Fully Implemented,0,40000
"54001592002",1094835,WV,Fully Implemented,0,0
"54002601001",1094995,WV,Not Considering Implementation,0,0
"54003310003",1095104,WV,Considering Implementation,30000,0
"54002012011",491302,WV,Considering Implementation,30000,0
"04001903003",1069551,AZ,Fully Implemented,0,0
"54002107001",3511336,WV,Considering Implementation,30000,0
"54003880203",3519336,WV,Considering Implementation,30000,0
"23000067002",1142503,ME,Fully Implemented,0,0
"23000107001",1142546,ME,Not Considering Implementation,0,0
"23000171001",1142604,ME,Not Considering Implementation,0,0
"04002801011",3120248,AZ,Not Considering Implementation,0,0
"12000001055",457111,FL,Not Considering Implementation,0,0
"54005405011",494650,WV,Not Considering Implementation,0,0
"04001903002",1069550,AZ,Fully Implemented,0,0
"12000001049",1078121,FL,Not Considering Implementation,0,0
"25000166001",1092448,MA,Fully Implemented,0,0
"54002717001",1095018,WV,Considering Implementation,30000,0
"54003412001",1095121,WV,Considering Implementation,30000,0
"36003056001",1232111,NY,In Process of Developing,352000,0
"54002013010",3513462,WV,Considering Implementation,30000,0
"54002505013",3539976,WV,Considering Implementation,30000,0
"12000001028",1078104,FL,Not Considering Implementation,0,0
"54001012001",1094766,WV,Considering Implementation,30000,0
"54005411001",3512096,WV,Considering Implementation,30000,0
"04001343003",1069474,AZ,Not Considering Implementation,0,0
"04001903001",1069549,AZ,Fully Implemented,0,0
"51000158001",1192728,VA,In Process of Developing,100000,100000
"04002801023",439355,AZ,Fully Implemented,0,0
"12000245002",1239655,FL,Not Considering Implementation,0,0
"54000106001",1094693,WV,Fully Implemented,0,10800
"54002901001",1095041,WV,Considering Implementation,30000,0
"54003009001",1095060,WV,Considering Implementation,30000,0
"54004302001",1095222,WV,Fully Implemented,0,25000
