"CWNS_ID","FACILITY_ID","STATE_CODE","CURRENT_EFFLUENT_TREATMENT_LEVEL","CURRENT_DISINFECTION_FLAG","FUTURE_EFFLUENT_TREATMENT_LEVEL","FUTURE_DISINFECTION_FLAG"
"48002062001",1183143,TX,Secondary,Y,Secondary,Y
"48005041001",1183597,TX,Secondary,Y,Secondary,Y
"48005098001",1183647,TX,Secondary,Y,Secondary,Y
"48007020002",1183792,TX,Secondary,Y,Secondary,Y
"48007088001",1183911,TX,Secondary,Y,Secondary,Y
"48007211001",1184004,TX,Secondary,Y,Secondary,Y
"48007652001",1184196,TX,Secondary,Y,Secondary,Y
"48008203001",1184463,TX,Secondary,Y,Secondary,Y
"51000319001",1192955,VA,Advanced,Y,Advanced,Y
"42004081002",1196300,PA,Advanced,N,Advanced,N
"55001770001",1206251,WI,Secondary,Y,Advanced,Y
"55004370001",1206629,WI,Secondary,Y,Secondary,Y
"12000170001",1078335,FL,Advanced,Y,Advanced,Y
"39000160001",1080585,OH,Advanced,Y,Advanced,Y
"39000279001",1080694,OH,Advanced,Y,Advanced,Y
"39000350001",1080760,OH,Secondary,Y,Advanced,Y
"39000973001",1080852,OH,Advanced,Y,Advanced,Y
"39001199003",1080873,OH,Advanced,Y,Advanced,Y
"39001421001",1080908,OH,Secondary,N,Secondary,N
"39004200001",1081154,OH,Secondary,Y,Secondary,Y
"39005880001",1081325,OH,Advanced,Y,Advanced,Y
"39006776001",1081488,OH,Advanced,Y,Advanced,Y
"39008225001",1081610,OH,Secondary,N,Secondary,N
"39009600001",1081728,OH,Advanced,Y,Advanced,Y
"26002000001",1088688,MI,Advanced,N,Advanced,N
"26003036001",1088849,MI,Secondary,N,Secondary,N
"26003087001",1088889,MI,Advanced,N,Advanced,N
"54002403001",1094967,WV,Secondary,N,Secondary,N
"54002620001",1095003,WV,Secondary,N,Secondary,N
"54002906001",1095045,WV,Secondary,N,Secondary,N
"54005405001",1095317,WV,Secondary,Y,Secondary,Y
"54005507001",1095341,WV,Secondary,N,Secondary,N
"33000098001",1100986,NH,Advanced,Y,Advanced,Y
"01000038001",1101867,AL,Secondary,Y,Secondary,Y
"24000005007",1214164,MD,Secondary,Y,Secondary,Y
"24000030007",1214247,MD,Advanced,Y,Advanced,Y
"24000300221",1214494,MD,Secondary,Y,Secondary,Y
"36003095001",1220523,NY,Advanced,Y,Advanced,Y
"36003118001",1220558,NY,Advanced,N,Advanced,N
"36003146002",1220594,NY,Secondary,N,Secondary,N
"36008064001",1221262,NY,Secondary,N,Secondary,Y
