"FACILITY_DOCUMENT_ID","DOCUMENT_ID","CWNS_ID","FACILITY_ID","STATE_CODE","DOCUMENT_TYPE_ID","DOCUMENT_TYPE","PUBLISHED_DATE","BASE_MONTH_COST_INFO","CERT_FLAG","SELF_CERT_FLAG","AGE_CERT"
110,121,"41000248001",1164462,OR,"21",Facility Plan or Preliminary Engineering Report ,2020-04-01,2020-04-01,,,
114,125,"41000059001",1238047,OR,"20",CIP or Master Plan,2021-04-08,2021-04-01,,,
115,125,"41000000007",3606643,OR,"20",CIP or Master Plan,2021-04-08,2021-04-01,,,
153,163,"22003103001",1168363,LA,"2",Non-CWSRF Governmental Loan and Grant Applications,2021-10-20,2021-10-01,,,
197,207,"01000000084",3606661,AL,"21",Facility Plan or Preliminary Engineering Report ,2022-02-08,2022-02-01,,,
217,223,"01000023001",1101851,AL,"21",Facility Plan or Preliminary Engineering Report ,2022-01-01,2022-01-01,,,
264,264,"01000034001",1101862,AL,"21",Facility Plan or Preliminary Engineering Report ,2022-02-01,2022-02-01,,,
275,275,"22001015001",1168250,LA,"2",Non-CWSRF Governmental Loan and Grant Applications,2021-10-28,2021-10-01,,,
283,281,"22000980001",1168249,LA,"2",Non-CWSRF Governmental Loan and Grant Applications,2021-10-18,2021-10-01,,,
285,283,"17003002001",1114124,IL,"21",Facility Plan or Preliminary Engineering Report ,2022-03-22,2022-03-01,,,
286,284,"22000950001",1168244,LA,"2",Non-CWSRF Governmental Loan and Grant Applications,2021-10-25,2021-10-01,,,
287,285,"22000940001",1168243,LA,"2",Non-CWSRF Governmental Loan and Grant Applications,2021-11-01,2021-11-01,,,
295,293,"22003110010",3535737,LA,"2",Non-CWSRF Governmental Loan and Grant Applications,2021-10-27,2021-10-01,,,
338,327,"22003386001",1168557,LA,"2",Non-CWSRF Governmental Loan and Grant Applications,2021-08-23,2021-08-01,,,
5802,328,"53000920002",429307,WA,"20",CIP or Master Plan,2019-12-17,2019-12-01,,,
339,328,"53200800002",3508337,WA,"20",CIP or Master Plan,2019-12-17,2019-12-01,,,
342,331,"22000950003",1168246,LA,"2",Non-CWSRF Governmental Loan and Grant Applications,2021-10-20,2021-10-01,,,
344,331,"22000950005",3606679,LA,"2",Non-CWSRF Governmental Loan and Grant Applications,2021-10-20,2021-10-01,,,
343,331,"22000950004",3606678,LA,"2",Non-CWSRF Governmental Loan and Grant Applications,2021-10-20,2021-10-01,,,
345,332,"22003034001",1168312,LA,"2",Non-CWSRF Governmental Loan and Grant Applications,2021-10-27,2021-10-01,,,
346,333,"22003074001",1237422,LA,"2",Non-CWSRF Governmental Loan and Grant Applications,2021-10-25,2021-10-01,,,
347,334,"22003096001",1168357,LA,"2",Non-CWSRF Governmental Loan and Grant Applications,2021-10-28,2021-10-01,,,
348,335,"22000800001",1168233,LA,"2",Non-CWSRF Governmental Loan and Grant Applications,2021-09-09,2021-09-01,,,
349,336,"22000795001",1168232,LA,"2",Non-CWSRF Governmental Loan and Grant Applications,2021-11-01,2021-11-01,,,
3,3,"38000000001",3606600,ND,"53",Census of Agriculture,2017-01-01,2017-01-01,,,
31807,10,"30000000003",3606629,MT,"44",NPS Management Program/Assessment Report,2020-01-06,2020-01-01,,,
120,130,"22201201234",3536936,LA,"2",Non-CWSRF Governmental Loan and Grant Applications,2021-11-01,2021-11-01,,,
37,44,"17000622001",1113897,IL,"3",CWSRF Loan Pre-applications/Final Applications,2021-03-24,2021-03-01,,,
