"CWNS_ID","FACILITY_ID","STATE_CODE","RESPONSIBLE_ENTITY","AUTHORITY_NAME"
"36004142001",1220805,NY,Y,FLEISCHMANNS (V)
"36004214001",1220809,NY,N,SEWARD (T) SEWER DISTRICT
"17000323001",1113589,IL,N,"EAST PEORIA STP #1, CITY OF"
"17000323003",1113591,IL,N,"EAST PEORIA #3 STP, CITY OF"
"17000324001",1113592,IL,N,"HOPEDALE STP, VILLAGE OF"
"36007048001",1221082,NY,Y,PORT BYRON (V)
"36007069001",1221088,NY,N,GREENE (V)
"05000359002",1105174,AR,,"DYESS, CITY OF"
"05000366001",1105181,AR,N,"BASSETT, CITY OF"
"12000104007",3527476,FL,Y,Port of the Islands Community Improvement District
"12000000138",3612647,FL,Y,Port of the Islands Community Improvement District
"17000086001",1113373,IL,N,VILLAGE OF ASHTON
"17000089001",1113375,IL,N,"ROYAL LAKES STP, VILLAGE OF"
"17000094001",1113378,IL,N,GOLCONDA CIVILIAN CONSERVATION
"17000097001",1113380,IL,N,"CLAY CITY WWTP, VILLAGE OF"
"17000102001",1113385,IL,N,SANGAMON VALLEY PWD STP
"17000112002",1113395,IL,,URBANA-CHAMPAIGN SD
"17000122001",1113401,IL,N,"OGDEN STP, VILLAGE OF"
"17000133001",1113406,IL,,"BARRINGTON STP, VILLAGE OF"
"17000145001",1113419,IL,N,"ELWOOD STP, VILLAGE OF"
"39000370001",1080783,OH,,CITY OF NAPOLEON
"39000387001",1080800,OH,N,VILLAGE OF COLDWATER
"18004172001",1120334,IN,N,WALTON MUNICIPAL STP
"39000391001",1080804,OH,N,VILLAGE OF ANTWERP
"18004174001",1120336,IN,,GALVESTON WASTEWATER TREATMENT PLANT
"39000462001",1080812,OH,,VILLAGE OF BARNESVILLE
"18004211001",1120339,IN,,CLAY CITY MUNICIPAL WWTP
"39000504001",1080813,OH,Y,VILLAGE OF BATAVIA
"39000553001",1080816,OH,N,VILLAGE OF BEALLSVILLE
"18004233001",1120342,IN,,MICHIGANTOWN WWTP
"18004254001",1120346,IN,,MILLTOWN MUNICIPAL WWTP
"48004203001",1227851,TX,N,CITY OF BELLEVUE
"48004211001",1227854,TX,N,CITY OF DAWSON
"48004214001",1227855,TX,N,CITY OF GRAHAM
"48004220001",1227856,TX,N,CITY OF NEWARK
"23000007001",1142437,ME,N,CITY OF BIDDEFORD
"23000007002",1142438,ME,N,CITY OF BIDDEFORD
"23000007001",1142437,ME,,CITY OF BIDDEFORD
"48004221001",1227857,TX,N,CITY OF OLNEY
