"CWNS_ID","FACILITY_ID","STATE_CODE","NEED_REASON"
"48002062001",1183143,TX,The project(s) will prevent unregulated water quality or human health impacts.
"34007028021",466977,NJ,The project(s) will prevent unregulated water quality or human health impacts.
"42004081002",1196300,PA,The project(s) is required to maintain compliance with a NPDES permit.
"42004081002",1196300,PA,The project(s) will prevent unregulated water quality or human health impacts.
"42004081002",1196300,PA,"The project(s) improves water efficiency, improves energy efficiency, improves water conservation, addresses climate change, or improves resiliency."
"55002440001",1206321,WI,The project(s) is required to maintain compliance with a NPDES permit.
"55005160001",1206718,WI,The project(s) is required to maintain compliance with a NPDES permit.
"34004001003",1073693,NJ,The project(s) will prevent unregulated water quality or human health impacts.
"34006094001",1073802,NJ,The project(s) will prevent unregulated water quality or human health impacts.
"39000279001",1080694,OH,The project(s) is required to maintain compliance with a NPDES permit.
"39000350001",1080760,OH,The project(s) is required to maintain compliance with a NPDES permit.
"39004200001",1081154,OH,The project(s) is required to maintain compliance with a NPDES permit.
"39006776001",1081488,OH,The project(s) will prevent unregulated water quality or human health impacts.
"39006776001",1081488,OH,"The project(s) improves water efficiency, improves energy efficiency, improves water conservation, addresses climate change, or improves resiliency."
"54002906001",1095045,WV,The project(s) will prevent unregulated water quality or human health impacts.
"54005405001",1095317,WV,"The project(s) improves water efficiency, improves energy efficiency, improves water conservation, addresses climate change, or improves resiliency."
"54005507001",1095341,WV,The project(s) is to increase capacity or improve treatment in advance of anticipated new permit requirements.
"33000098001",1100986,NH,The project(s) is required to maintain compliance with a NPDES permit.
"33000098001",1100986,NH,The project(s) is to increase capacity or improve treatment in advance of anticipated new permit requirements.
"33000098001",1100986,NH,"The project(s) improves water efficiency, improves energy efficiency, improves water conservation, addresses climate change, or improves resiliency."
"24000005007",1214164,MD,The project(s) is required to maintain compliance with a NPDES permit.
"24000300221",1214494,MD,The project(s) is required to maintain compliance with a NPDES permit.
"36003095001",1220523,NY,The project(s) is required to maintain compliance with a NPDES permit.
"36008064001",1221262,NY,The project(s) is required to maintain compliance with a NPDES permit.
"36008064001",1221262,NY,The project(s) is necessary to obtain compliance with a new permit requirement.
"36008074001",1221269,NY,The project(s) is required to maintain compliance with a NPDES permit.
"42004277001",1227219,PA,The project(s) will prevent unregulated water quality or human health impacts.
"31002355001",1230263,NE,The project(s) is required to maintain compliance with a NPDES permit.
"31002355001",1230263,NE,"The project(s) improves water efficiency, improves energy efficiency, improves water conservation, addresses climate change, or improves resiliency."
"19000560001",1234665,IA,The project(s) is to increase capacity or improve treatment in advance of anticipated new permit requirements.
"26000411001",1088499,MI,The project(s) will prevent unregulated water quality or human health impacts.
"26000575001",1088604,MI,The project(s) will prevent unregulated water quality or human health impacts.
"26003137001",1088924,MI,The project(s) will prevent unregulated water quality or human health impacts.
"25000179002",1092462,MA,"The project(s) improves water efficiency, improves energy efficiency, improves water conservation, addresses climate change, or improves resiliency."
"54002715001",1095016,WV,"The project(s) improves water efficiency, improves energy efficiency, improves water conservation, addresses climate change, or improves resiliency."
"54005001001",1095277,WV,The project(s) is to increase capacity or improve treatment in advance of anticipated new permit requirements.
"54005001001",1095277,WV,The project(s) will prevent unregulated water quality or human health impacts.
"01000305001",1102129,AL,The project(s) is required to maintain compliance with a NPDES permit.
