X,Y,OBJECTID,GCOMPID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TYPE,STATUS,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,PIPECO,COMPID,OPERATOR,POSREL,NUM_UNITS,CERT_HP,PLANT_COST,EXP_FUEL,EXP_OTHER,GAS_COMPRE,OP_COMP_HR,OP_NUM_COM,OP_DATE_PE,EXP_POWER,ELEC_COMPR,GHGRP ID,GHGRP name,Distance_m
-10893215.92,3217226.443,72,GCOMP1062,#1 - AGUA DULCE,GILLRINA ROAD/ COUNTY ROAD 32,ROBSTOWN,TX,78330,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,NUECES,48355,USA,27.74789742,-97.85542351,486210,"BOOSTER PUMPING STATION, NATURAL GAS TRANSPORTATION","EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2020/07/15 00:00:00+00,IMAGERY/OTHER,2022/06/20 00:00:00+00,http://pipeline2.kindermorgan.com/,TENNESSEE GAS PIPELINE COMPANY L.L.C.,9,TENNESSEE GAS PIPELINE COMPANY L.L.C.,WITHIN 40 FEET,12,17800,23711328,93054,1623802,51919,18843,5,2020/03/11 00:00:00+00,0,0,1013698,Agua Dulce,3687
-11875947.33,6212675.567,239,GCOMP1213,#1 - VALLEY COUNTY,OFF OF BRITCH ROAD,GLASGOW,MT,59230,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,VALLEY,30105,USA,48.63216,-106.68345,486210,"BOOSTER PUMPING STATION, NATURAL GAS TRANSPORTATION","EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2020/07/15 00:00:00+00,IMAGERY/OTHER,2022/06/17 00:00:00+00,https://www.tcpipelineslp.com/assets/northern-border/,NORTHERN BORDER PIPELINE COMPANY,89,TC PIPELINES L.P.,WITHIN 40 FEET,1,38000,34153858,0,169125,0,0,0,2001/01/01 00:00:00+00,0,0,,,
-10886827.24,5632196.743,231,GCOMP1206,#10 - CLARK COUNTY,NW CORNER OF 421ST AVENUE AND 160TH ST; SOUTH OF CROCKER,BRADLEY,SD,57217,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,CLARK,46025,USA,45.06776962,-97.79803309,486210,"BOOSTER PUMPING STATION, NATURAL GAS TRANSPORTATION","EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2020/07/15 00:00:00+00,IMAGERY/OTHER,2022/06/17 00:00:00+00,https://www.tcpipelineslp.com/assets/northern-border/,NORTHERN BORDER PIPELINE COMPANY,89,TC PIPELINES L.P.,WITHIN 40 FEET,1,38000,37118571,3045746,324765,1612444,6973,1,2020/10/24 00:00:00+00,0,0,1004906,Northern Border Pipeline Clark CS#10,63
-13426681.92,5641751.941,1278,GCOMP920,#10 - KENT,97135 WILCOX LANE,KENT,OR,97033,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,SHERMAN,41055,USA,45.12836072,-120.6139358,486210,"BOOSTER PUMPING STATION, NATURAL GAS TRANSPORTATION","EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2020/07/15 00:00:00+00,IMAGERY/OTHER,2022/06/17 00:00:00+00,http://www.gastransmissionnw.com/,GAS TRANSMISSION NORTHWEST L.L.C.,86,GAS TRANSMISSION NORTHWEST L.L.C.,WITHIN 40 FEET,2,95800,58980333,3677870,318454,1347205,11090,2,2020/02/06 00:00:00+00,0,0,1004778,Gas Transmission Northwest Pipeline Kent CS#10,20
-9349162.442,4567768.827,779,GCOMP47,#106 - CLAY CITY,10205 WINCHESTER ROAD,CLAY CITY,KY,40312,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,POWELL,21197,USA,37.91743587,-83.98495515,486210,"BOOSTER PUMPING STATION, NATURAL GAS TRANSPORTATION","EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2020/07/15 00:00:00+00,IMAGERY/OTHER,2022/06/20 00:00:00+00,http://pipeline2.kindermorgan.com/,TENNESSEE GAS PIPELINE COMPANY L.L.C.,9,TENNESSEE GAS PIPELINE COMPANY L.L.C.,WITHIN 40 FEET,18,59800,167543850,4159814,3777990,2466558,62174,14,2020/12/31 00:00:00+00,0,0,1010497,"TGP Station 106 Clay City, KY",59
-9329083.06,4578608.195,363,GCOMP1325,#107A - NORTH MEANS,TOWN BRANCH ROAD AND DOUBLE GATE ROAD,MEANS,KY,40346,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,MENIFEE,21165,USA,37.994212,-83.804579,486210,"BOOSTER PUMPING STATION, NATURAL GAS TRANSPORTATION","EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2020/07/15 00:00:00+00,IMAGERY/OTHER,2022/06/20 00:00:00+00,http://pipeline2.kindermorgan.com/,TENNESSEE GAS PIPELINE COMPANY L.L.C.,9,TENNESSEE GAS PIPELINE COMPANY L.L.C.,WITHIN 40 FEET,2,4390,8359432,11,86423,6,2,1,2020/07/06 00:00:00+00,0,0,1014598,Columbia Gulf Transmission - Means CS,8875
-10776587.78,5569104.605,970,GCOMP643,#11 - DEUEL COUNTY,470TH AVENUE; CORNER OF 470TH AVENUE AND 188TH STREET,ESTELLINE,SD,57234,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,DEUEL,46039,USA,44.66607803,-96.80773515,486210,"BOOSTER PUMPING STATION, NATURAL GAS TRANSPORTATION","EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2020/07/15 00:00:00+00,IMAGERY/OTHER,2022/06/17 00:00:00+00,https://www.tcpipelineslp.com/assets/northern-border/,NORTHERN BORDER PIPELINE COMPANY,89,TC PIPELINES L.P.,WITHIN 40 FEET,1,38000,31178125,3455882,426970,1825391,8195,1,2020/01/21 00:00:00+00,0,0,1004908,Northern Border Pipeline Estelline CS#11,11480
-13473631.15,5533592.542,58,GCOMP105,#11- MADRAS,11900 US-26,MADRAS,OR,97741,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,JEFFERSON,41031,USA,44.43874887,-121.0356879,486210,"BOOSTER PUMPING STATION, NATURAL GAS TRANSPORTATION","EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2020/07/15 00:00:00+00,IMAGERY/OTHER,2022/06/17 00:00:00+00,http://www.gastransmissionnw.com/,GAS TRANSMISSION NORTHWEST L.L.C.,86,GAS TRANSMISSION NORTHWEST L.L.C.,WITHIN 40 FEET,2,50200,34830767,1905018,259839,697809,6498,2,2020/02/18 00:00:00+00,0,0,1013942,Gas Transmission Northwest - Madras,6
-9284175.665,4619890.017,1193,GCOMP844,#110 - MOREHEAD,7600 CRANSTON ROAD,MOREHEAD,KY,40351,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,ROWAN,21205,USA,38.285879,-83.401169,486210,"BOOSTER PUMPING STATION, NATURAL GAS TRANSPORTATION","EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2020/07/15 00:00:00+00,IMAGERY/OTHER,2022/06/20 00:00:00+00,http://pipeline2.kindermorgan.com/,TENNESSEE GAS PIPELINE COMPANY L.L.C.,9,TENNESSEE GAS PIPELINE COMPANY L.L.C.,WITHIN 40 FEET,4,37100,86969007,0,822954,0,27361,4,2020/11/21 00:00:00+00,6227643,187146491,1013594,Columbia Gulf Transmission - Morehead CS,5187
-9192344.655,4617845.585,780,GCOMP470,#114 - CATLETTSBURG,29450 MAYO TRAIL ROAD,CATLETTSBURG,KY,41129,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,BOYD,21019,USA,38.271462,-82.576237,486210,"BOOSTER PUMPING STATION, NATURAL GAS TRANSPORTATION","EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2020/07/15 00:00:00+00,IMAGERY/OTHER,2022/06/20 00:00:00+00,http://pipeline2.kindermorgan.com/,TENNESSEE GAS PIPELINE COMPANY L.L.C.,9,TENNESSEE GAS PIPELINE COMPANY L.L.C.,WITHIN 40 FEET,11,34801,100154746,2093057,1265112,1220627,13101,10,2020/09/09 00:00:00+00,2556432,17766000,1013236,"TGP Station 114 Catlettsburg, KY",640
