DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,OPERATOR_NAME,OFFICE_ADDRESS_STREET,OFFICE_ADDRESS_CITY,OFFICE_ADDRESS_COUNTY,OFFICE_ADDRESS_STATE,OFFICE_ADDRESS_ZIP,HQ_ADDRESS_STREET,HQ_ADDRESS_CITY,HQ_ADDRESS_COUNTY,HQ_ADDRESS_STATE,HQ_ADDRESS_ZIP,COMMODITY,STOP,OPERATOR_TYPE,MMILES_STEEL_UNP_BARE,MMILES_STEEL_UNP_COATED,MMILES_STEEL_CP_BARE,MMILES_STEEL_CP_COATED,MMILES_PLASTIC,MMILES_CI,MMILES_DI,MMILES_CU,MMILES_OTHER,MMILES_RCI,MMILES_TOTAL,NUM_SRVS_STEEL_UNP_BARE,NUM_SRVS_STEEL_UNP_COATED,NUM_SRVS_STEEL_CP_BARE,NUM_SRVS_STEEL_CP_COATED,NUM_SRVS_PLASTIC,NUM_SRVS_CI,NUM_SRVS_DI,NUM_SRVS_CU,NUM_SRVS_OTHER,NUM_SRVS_RCI,NUM_SRVCS_TOTAL,MMILES_STEEL_UNK,MMILES_STEEL_LT2IN,MMILES_STEEL_2IN_TO_4IN,MMILES_STEEL_4IN_TO_8IN,MMILES_STEEL_8IN_TO_12IN,MMILES_STEEL_GT12IN,MMILES_STEEL_TOTAL,MMILES_DI_UNK,MMILES_DI_LT2IN,MMILES_DI_2IN_TO_4IN,MMILES_DI_4IN_TO_8IN,MMILES_DI_8IN_TO_12IN,MMILES_DI_GT12IN,MMILES_DI_TOTAL,MMILES_CU_UNK,MMILES_CU_LT2IN,MMILES_CU_2IN_TO_4IN,MMILES_CU_4IN_TO_8IN,MMILES_CU_8IN_TO_12IN,MMILES_CU_GT12IN,MMILES_CU_TOTAL,MMILES_CI_WR_UNK,MMILES_CI_WR_LT2IN,MMILES_CI_WR_2IN_TO_4IN,MMILES_CI_WR_4IN_TO_8IN,MMILES_CI_WR_8IN_TO_12IN,MMILES_CI_WR_GT12IN,MMILES_CI_WR_TOTAL,MMILES_PLASTIC_UNK,MMILES_PLASTIC_LT2IN,MMILES_PLASTIC_2IN_TO_4IN,MMILES_PLASTIC_4IN_TO_8IN,MMILES_PLASTIC_8IN_TO_12IN,MMILES_PLASTIC_GT12IN,MMILES_PLASTIC_TOTAL,MMILES_PE_UNK,MMILES_PE_LT2IN,MMILES_PE_2IN_TO_4IN,MMILES_PE_4IN_TO_8IN,MMILES_PE_8IN_TO_12IN,MMILES_PE_GT12IN,MMILES_PE_TOTAL,MMILES_ABS_UNK,MMILES_ABS_LT2IN,MMILES_ABS_2IN_TO_4IN,MMILES_ABS_4IN_TO_8IN,MMILES_ABS_8IN_TO_12IN,MMILES_ABS_GT12IN,MMILES_ABS_TOTAL,MMILES_OTH_PLSTC_UNK,MMILES_OTH_PLSTC_LT2IN,MMILES_OTH_PLSTC_2IN_TO_4IN,MMILES_OTH_PLSTC_4IN_TO_8IN,MMILES_OTH_PLSTC_8IN_TO_12IN,MMILES_OTH_PLSTC_GT12IN,MMILES_OTH_PLSTC_TOTAL,MMILES_OTHER_UNK,MMILES_OTHER_LT2IN,MMILES_OTHER_2IN_TO_4IN,MMILES_OTHER_4IN_TO_8IN,MMILES_OTHER_8IN_TO_12IN,MMILES_OTHER_GT12IN,MMILES_OTHER_TOTAL,MMILES_OTHER_MATERIAL_DETAIL,MMILES_RCI_UNK,MMILES_RCI_LT2IN,MMILES_RCI_2IN_TO_4IN,MMILES_RCI_4IN_TO_8IN,MMILES_RCI_8IN_TO_12IN,MMILES_RCI_GT12IN,MMILES_RCI_TOTAL,MMILES_UNK_TOTAL,MMILES_LT2IN_TOTAL,MMILES_2IN_TO_4IN_TOTAL,MMILES_4IN_TO_8IN_TOTAL,MMILES_8IN_TO_12IN_TOTAL,MMILES_GT12IN_TOTAL,MMILES_PART_B2_TOTAL,AVERAGE_LENGTH,NUM_SRVS_STEEL_UNK,NUM_SRVS_STEEL_LT1IN,NUM_SRVS_STEEL_1IN_TO_2IN,NUM_SRVS_STEEL_2IN_TO_4IN,NUM_SRVS_STEEL_4IN_TO_8IN,NUM_SRVS_STEEL_GT8IN,NUM_SRVS_STEEL_TOTAL,NUM_SRVS_DI_UNK,NUM_SRVS_DI_LT1IN,NUM_SRVS_DI_1IN_TO_2IN,NUM_SRVS_DI_2IN_TO_4IN,NUM_SRVS_DI_4IN_TO_8IN,NUM_SRVS_DI_GT8IN,NUM_SRVS_DI_TOTAL,NUM_SRVS_CU_UNK,NUM_SRVS_CU_LT1IN,NUM_SRVS_CU_1IN_TO_2IN,NUM_SRVS_CU_2IN_TO_4IN,NUM_SRVS_CU_4IN_TO_8IN,NUM_SRVS_CU_GT8IN,NUM_SRVS_CU_TOTAL,NUM_SRVS_CI_WR_UNK,NUM_SRVS_CI_WR_LT1IN,NUM_SRVS_CI_WR_1IN_TO_2IN,NUM_SRVS_CI_WR_2IN_TO_4IN,NUM_SRVS_CI_WR_4IN_TO_8IN,NUM_SRVS_CI_WR_GT8IN,NUM_SRVS_CI_WR_TOTAL,NUM_SRVS_PLASTIC_UNK,NUM_SRVS_PLASTIC_LT1IN,NUM_SRVS_PLASTIC_1IN_TO_2IN,NUM_SRVS_PLASTIC_2IN_TO_4IN,NUM_SRVS_PLASTIC_4IN_TO_8IN,NUM_SRVS_PLASTIC_GT8IN,NUM_SRVS_PLASTIC_TOTAL,NUM_SRVS_PE_UNK,NUM_SRVS_PE_LT1IN,NUM_SRVS_PE_1IN_TO_2IN,NUM_SRVS_PE_2IN_TO_4IN,NUM_SRVS_PE_4IN_TO_8IN,NUM_SRVS_PE_GT8IN,NUM_SRVS_PE_TOTAL,NUM_SRVS_ABS_UNK,NUM_SRVS_ABS_LT1IN,NUM_SRVS_ABS_1IN_TO_2IN,NUM_SRVS_ABS_2IN_TO_4IN,NUM_SRVS_ABS_4IN_TO_8IN,NUM_SRVS_ABS_GT8IN,NUM_SRVS_ABS_TOTAL,NUM_SRVS_OTH_PLSTC_UNK,NUM_SRVS_OTH_PLSTC_LT1IN,NUM_SRVS_OTH_PLSTC_1IN_TO_2IN,NUM_SRVS_OTH_PLSTC_2IN_TO_4IN,NUM_SRVS_OTH_PLSTC_4IN_TO_8IN,NUM_SRVS_OTH_PLSTC_GT8IN,NUM_SRVS_OTH_PLSTC_TOTAL,NUM_SRVS_OTHER_UNK,NUM_SRVS_OTHER_LT1IN,NUM_SRVS_OTHER_1IN_TO_2IN,NUM_SRVS_OTHER_2IN_TO_4IN,NUM_SRVS_OTHER_4IN_TO_8IN,NUM_SRVS_OTHER_GT8IN,NUM_SRVS_OTHER_TOTAL,NUM_SRVS_OTHER_MATERIAL_DETAIL,NUM_SRVS_RCI_UNK,NUM_SRVS_RCI_LT1IN,NUM_SRVS_RCI_1IN_TO_2IN,NUM_SRVS_RCI_2IN_TO_4IN,NUM_SRVS_RCI_4IN_TO_8IN,NUM_SRVS_RCI_GT8IN,NUM_SRVS_RCI_TOTAL,NUM_SRVS_UNK_TOTAL,NUM_SRVS_LT1IN_TOTAL,NUM_SRVS_1IN_TO_2IN_TOTAL,NUM_SRVS_2IN_TO_4IN_TOTAL,NUM_SRVS_4IN_TO_8IN_TOTAL,NUM_SRVS_GT8IN_TOTAL,NUM_SRVS_PART_B3_TOTAL,MMILES_BY_DCD_UNK,MMILES_BY_DCD_PRE1940,MMILES_BY_DCD_1940_TO_1949,MMILES_BY_DCD_1950_TO_1959,MMILES_BY_DCD_1960_TO_1969,MMILES_BY_DCD_1970_TO_1979,MMILES_BY_DCD_1980_TO_1989,MMILES_BY_DCD_1990_TO_1999,MMILES_BY_DCD_2000_TO_2009,MMILES_BY_DCD_2010_TO_2019,MMILES_BY_DCD_2020_TO_2029,MMILES_BY_DCD_TOTAL,NUM_SRVS_BY_DCD_UNK,NUM_SRVS_BY_DCD_PRE1940,NUM_SRVS_BY_DCD_1940_TO_1949,NUM_SRVS_BY_DCD_1950_TO_1959,NUM_SRVS_BY_DCD_1960_TO_1969,NUM_SRVS_BY_DCD_1970_TO_1979,NUM_SRVS_BY_DCD_1980_TO_1989,NUM_SRVS_BY_DCD_1990_TO_1999,NUM_SRVS_BY_DCD_2000_TO_2009,NUM_SRVS_BY_DCD_2010_TO_2019,NUM_SRVS_BY_DCD_2020_TO_2029,NUM_SRVS_BY_DCD_TOTAL,TOTAL_LEAKS_COR_MAINS,TOTAL_LEAKS_NF_MAINS,TOTAL_LEAKS_EX_MAINS,TOTAL_LEAKS_OF_DAM_MAINS,TOTAL_LEAKS_MAT_WELD_MAINS,TOTAL_LEAKS_EQ_MAINS,TOTAL_LEAKS_OP_MAINS,TOTAL_LEAKS_OT_MAINS,TOTAL_LEAKS_COR_SRVS,TOTAL_LEAKS_NF_SRVS,TOTAL_LEAKS_EX_SRVS,TOTAL_LEAKS_OF_DAM_SRVS,TOTAL_LEAKS_MAT_WELD_SRVS,TOTAL_LEAKS_EQ_SRVS,TOTAL_LEAKS_OP_SRVS,TOTAL_LEAKS_OT_SRVS,TOTAL_HAZLEAKS_COR_MAINS,TOTAL_HAZLEAKS_NF_MAINS,TOTAL_HAZLEAKS_EX_MAINS,TOTAL_HAZLEAKS_OF_DAM_MAINS,TOTAL_HAZLEAKS_MAT_WELD_MAINS,TOTAL_HAZLEAKS_EQ_MAINS,TOTAL_HAZLEAKS_OP_MAINS,TOTAL_HAZLEAKS_OT_MAINS,TOTAL_HAZLEAKS_COR_SRVS,TOTAL_HAZLEAKS_NF_SRVS,TOTAL_HAZLEAKS_EX_SRVS,TOTAL_HAZLEAKS_OF_DAM_SRVS,TOTAL_HAZLEAKS_MAT_WELD_SRVS,TOTAL_HAZLEAKS_EQ_SRVS,TOTAL_HAZLEAKS_OP_SRVS,TOTAL_HAZLEAKS_OT_SRVS,KNOWN_LEAKS,MECHANICAL_JOINT_LEAKS,FED_LAND_LEAKS_REPAIRED,PERCENT_UNACC_GAS,PARTDNOTIFNOCALL,PARTDNOTIFOUTAREA,PARTDNOTIFPRIORSTART,PARTDNOTIFAFTEREXP,PARTDNOTIFINCINFO,PARTDNOTIFTOTAL,PARTDEXCAVTESTHOLE,PARTDEXCAVCLEARANCE,PARTDEXCAVPROTSHORE,PARTDEXCAVBACKFILL,PARTDMARKFADE,PARTDEXCAVNOTLISTED,PARTDEXCAVTOTAL,PARTDMISCDETER,PARTDMISCONECALL,PARTDMISCPREVDAMAGE,PARTDMISCROOTCAUSE,PARTDMISCTOTAL,PARTDLOCABANDON,PARTDLOCINCORMAP,PARTDLOCLOCERROR,PARTDLOCNORESP,PARTDLOCINCOMP,PARTDLOCTRACEWIRE,PARTDLOCUNLOCAT,PARTDLOCABANMARK,PARTDLOCMAPMARK,PARTDLOCLOCMARK,PARTDLOCTRACEMARK,PARTDLOCTOTAL,PARTDTOTDAMAGES,PARTDTOTTICKETS,ADDITIONAL_INFORMATION,PREPARERS_NAME,PREPARERS_TITLE,PREPARERS_PHONE,PREPARERS_FAX,PREPARERS_EMAIL,REPORT_SUBMISSION_TYPE,REPORT_DATE,FILING_DATE,FORM_REV
5/1/2025,2024,20250860,71202,18,"ABBYVILLE, CITY OF",PO BOX 100,ABBYVILLE,Reno,KS,67510,P O BOX 100,ABBYVILLE,,KS,67510,Natural Gas,KS,Municipal Owned,0,0,0,3,0,0,0,0,0,0,3,0,0,0,55,1,0,0,0,0,0,56,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3,0,0,0,0,3,35,0,0,55,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,56,0,0,0,56,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,55,0,0,0,0,1,0,0,56,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,0,0,0,23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,Mindy Iverson,agent,(620) 286-5643,(000) 000-0000,cityofabbyville@hotmail.com,INITIAL,3/11/2025,3/11/2025,7100.1-1 (Rev. 06-2023)
5/1/2025,2024,20251089,73661,27,ABITA SPRINGS NAT GAS & WATER,222 Highway 19,SLAUGHTER,EAST FELICIANA,LA,70777-3521,22161 LEVEL STREET P. O. Box 461,ABITA SPRINGS,,LA,70420,Natural Gas,LA,Municipal Owned,0,0,0,25.92,2.3,0,0,0,0,0,28.22,0,0,0,512,513,0,0,0,0,0,1025,0,0,25.92,0,0,0,25.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,28.22,0,0,0,28.22,30,0,512,0,0,0,0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,3,0,0,0,513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1022,3,0,0,0,1025,0,0,0,0,0,0,0,0,28,0,0.22,28.22,0,0,0,0,0,0,0,0,852,66,107,1025,2,,,,,,,,1,,1,1,,4,,,,,,,,,,,,,,1,,2,,,0,0,0,0,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,912,,Kaylan Ewing,Consultant,(225) 286-5650,(000) 000-0000,kaylan@pipeline-integrity.com,SUPPLEMENTAL,3/13/2025,3/24/2025,7100.1-1 (Rev. 06-2023)
5/1/2025,2024,20250271,66826,45,"ADAIRSVILLE, CITY OF",2369 Hall Station Rd NW,Adairsville,Bartow,GA,30103,116 PUBLIC SQUARE,ADAIRSVILLE,,GA,30103,Natural Gas,GA,Municipal Owned,0,0,0,29.64,89.27,0,0,0,0,0,118.91,0,0,0,0,1967,0,0,0,0,0,1967,0,9.74,9.92,9.98,0,0,29.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.94,19.64,4.69,0,0,89.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,74.68,29.56,14.67,0,0,118.91,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1919,35,12,1,0,1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1919,35,12,1,0,1967,0,0,0,0,3.44,6,9,8.98,31,54.95,5.54,118.91,4,0,0,0,47,71,356,281,669,245,294,1967,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.4,0,0,0,0,0,0,0,0,1,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1769,"The following report was completed by Maurice Chaney, Regional Manager of Subscribe Regulatory Compliance Service, based on information supplied by Timothy Paflas, Regulatory Compliance Supervisor, City of Adairsville.",MAURICE CHANEY,agent,(770) 851-3094,(678) 819-0957,mchaney@gasauthority.com,INITIAL,2/12/2025,2/12/2025,7100.1-1 (Rev. 06-2023)
5/1/2025,2024,20250289,66964,49,TOWN OF ADAMSVILLE GAS DEPT,203 Sunrise Dr.,Adamsville,Tennessee,TN,38310,231 EAST MAIN STREET P O BOX 301,ADAMSVILLE,,TN,38310,Natural Gas,TN,Municipal Owned,,,,92.359,78.878,0,0,0,0,0,171.237,,,,707,1372,0,0,0,0,0,2079,0,66.359,15,11,0,0,92.359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.578,0.3,5,0,0,78.878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,139.937,15.3,16,0,0,171.237,90,0,691,9,7,0,0,707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372,0,0,0,0,1372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2063,9,7,0,0,2079,126,0,0,0,0,0,0,0,0,45.141,0.096,171.237,1710,0,0,0,0,0,0,0,0,327,42,2079,0,0,0,1,0,2,0,0,0,0,5,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,-0.37,3,0,0,0,1,4,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,1663,,Scott Klinck,Public Works Director,(731) 632-4214,(000) 000-0000,SKlinck@CityofAdamsville.com,INITIAL,2/13/2025,2/13/2025,7100.1-1 (Rev. 06-2023)
5/1/2025,2024,20250009,64580,54,"ADEL GAS DEPT, CITY OF",P.O. Box 1530,Adel,Cook,GA,31620,P.O. BOX 1530,ADEL,,GA,31620,Natural Gas,GA,Municipal Owned,,,,29.28,29.204,0,0,0,0,0,58.484,,,,251,470,0,0,0,0,0,721,0,19.78,6,3.5,0,0,29.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.094,11.79,10.32,0,0,29.204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,26.874,17.79,13.82,0,0,58.484,100,0,248,3,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,0,0,0,0,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,718,3,0,0,0,721,0,0,0,0,0,15,4,4,0,6.5,28.81,58.31,0,0,0,0,0,108,181,112,146,160,14,721,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,175,,Peter Schultz,agent,(229) 834-6246,(000) 000-0000,peterschultzharpassociates@yahoo.com,INITIAL,1/6/2025,1/6/2025,7100.1-1 (Rev. 06-2023)
5/1/2025,2024,20251120,72520,81,"AGUILAR, TOWN OF",101 W MAIN STREET,AGUILAR,,CO,81020,101 W. MAIN (POB 538),AGUILAR,,CO,81020,Natural Gas,CO,Municipal Owned,0,0,0,8,0.25,0,0,0,0,0,8.25,0,0,0,234,38,0,0,0,0,0,272,0,7,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7.25,1,0,0,0,8.25,90,0,234,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,272,0,0,0,0,272,0,0,0,0,8,0,0,0.25,0,0,0,8.25,0,0,0,0,0,0,0,234,0,0,38,272,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,62,,Sara Porras,Deputy Clerk,(719) 941-4360,(719) 941-4395,aguilardeputyclerk@gmail.com,INITIAL,3/13/2025,3/13/2025,7100.1-1 (Rev. 06-2023)
5/1/2025,2024,20251271,73007,180,SPIRE ALABAMA INC.,2101 6TH AVENUE NORTH,BIRMINGHAM,Jefferson,AL,35203,605 RICHARD ARRINGTON JR BLVD N,BIRMINGHAM,,AL,35203,Natural Gas,AL,Investor Owned,289.32,338.5,158.41,4503.27,5959.1,272.2,0.1,0,14.9,0,11535.8,31717,1950,64802,108125,290418,4,0,994,0,0,498010,11.6,2746.1,1483.1,854.6,182.1,12,5289.5,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,1.2,41.5,114.2,87.2,14.5,13.6,272.2,0,0,0,0,0,0,0,18.1,3693.1,1686.6,555.2,6.1,0,5959.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3,4.1,0.5,0,0,0,14.9,,0,0,0,0,0,0,0,41.2,6484.8,3284.4,1497,202.8,25.6,11535.8,134,126646,77673,360,1485,347,83,206594,0,0,0,0,0,0,0,0,990,4,0,0,0,994,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,264018,24816,1511,72,1,290418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,126646,342681,25180,3000,419,84,498010,456.6,173.2,215,1582.3,1533.7,1249.1,1305.6,1852.6,1510,1266.2,391.5,11535.8,111184,0,0,33903,51916,50160,48607,66079,50573,60968,24620,498010,130,48,281,5,174,9,6,1,526,211,1391,244,703,752,52,95,51,29,275,4,85,3,4,0,369,179,1368,230,491,498,34,78,165,187,0,0.57,405,24,50,30,4,513,184,76,10,3,9,103,385,0,0,0,0,0,16,180,75,44,64,14,141,1,14,41,184,774,1672,217282,The increase from previous years averages in Part C - Leak Repairs is due to including additional aboveground leaks at the meter.,Erin Milkert,"Manager, Integrity Management",(314) 304-2217,(000) 000-0000,erin.milkert@spireenergy.com,INITIAL,3/14/2025,3/14/2025,7100.1-1 (Rev. 06-2023)
5/1/2025,2024,20250862,71221,207,"ALASKA PIPELINE COMPANY, LLC",401 E. INTERNATIONAL AIRPORT RD,ANCHORAGE,,AK,99518,3000 SPENARD ROAD P.O. BOX 190288,ANCHORAGE,,AK,99519,Natural Gas,AK,Privately Owned,0,0,0,53.65,0,0,0,0,0,0,53.65,0,0,0,0,0,0,0,0,0,0,0,0,0.04,2.56,45.31,5.74,0,53.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0.04,2.56,45.31,5.74,0,53.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.78,1.84,2.99,2.06,0.34,0.64,0,53.65,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,46,,Rusty Allen,Engineering Supervisor,(907) 334-7765,(000) 000-0000,rusty.allen@enstarnaturalgas.com,INITIAL,3/11/2025,3/11/2025,7100.1-1 (Rev. 06-2023)
5/1/2025,2024,20250177,66040,225,ALBANY MUNICIPAL GAS CO,106 E Clay Street,Albany,,MO,64402,106 EAST CLAY STREET,ALBANY,,MO,64402,Natural Gas,MO,Municipal Owned,0,0,0,20,7.25,0,0,0,0,0,27.25,0,0,0,598,306,0,0,0,0,0,904,0,14,3,3,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.25,0,0,0,7.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,18,6.25,3,0,0,27.25,60,0,590,8,0,0,0,598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,8,0,0,0,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,888,16,0,0,0,904,0,0,0,0,17,3,1,0,1.5,4.5,0.25,27.25,0,0,0,0,581,127,27,55,35,65,14,904,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,261,,Steven Adams,operator,(660) 726-3935,(660) 726-5823,gas@albanymo.net,INITIAL,2/4/2025,2/4/2025,7100.1-1 (Rev. 06-2023)
5/1/2025,2024,20251137,72604,234,CITY OF ALBANY,916 North Front Street,Albany,,GA,31703,916 NORTH FRONT ST,ALBANY,,GA,31703,Natural Gas,GA,Municipal Owned,0,0,0,398.042,21.873,0,0,0,0,0,419.915,0,0,0,16572,176,0,0,0,0,0,16748,0,256.162,89.88,47,5,0,398.042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.683,6.82,8.37,0,0,21.873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,262.845,96.7,55.37,5,0,419.915,100,0,16449,105,16,2,0,16572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,9,1,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,16615,114,17,2,0,16748,289.954,0,0,0,0,54.38,27,21,5,20.211,2.31,419.855,16565,0,0,0,0,0,0,0,0,102,81,16748,0,0,0,,0,0,0,0,0,0,4,1,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,5,4752,Data reported was provided by the Operator.,Chris Welborn,Agent,(678) 739-6731,(000) 000-0000,cwelborn@gasauthority.com,INITIAL,3/14/2025,3/14/2025,7100.1-1 (Rev. 06-2023)
